winner,awayID,homeID,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
0,1,20,8,9,2,18,47.4,2.895,3.211,0.9474,21.2,14.0,11.0,66.0,84.1,33.0526,31.1579,0.538,0.167,0.625,0.778,0.5,0.429,1226.0,571.0,655.0,46.6,8.8,0.897,11,8,1,23,57.5,3.1,3.0,0.9487,18.3,13.0,15.0,71.0,76.6,34.25,28.3,0.778,0.364,0.8,0.8,0.563,0.5,1183.0,613.0,570.0,51.8,9.1,0.894
0,18,24,14,5,1,29,72.5,3.35,2.3,1.4828,12.8,10.0,13.0,78.0,79.7,32.75,29.75,1.0,0.333,1.0,0.909,0.727,0.625,1280.0,661.0,619.0,51.6,10.2,0.923,8,9,5,21,47.7,2.091,2.864,0.9118,15.0,9.0,15.0,60.0,80.8,26.6364,36.4091,0.6,0.167,0.5,0.833,0.333,0.333,1324.0,667.0,657.0,50.4,7.8,0.921
0,16,10,8,8,5,21,50.0,2.667,3.286,0.878,14.1,9.0,15.0,64.0,74.6,32.381,33.381,0.583,0.111,0.5,0.833,0.4,0.3,1243.0,619.0,624.0,49.8,8.2,0.902,14,6,0,28,70.0,3.5,2.55,1.3529,25.9,15.0,10.0,58.0,82.1,31.7,32.15,1.0,0.455,1.0,1.0,0.667,0.8,1228.0,625.0,603.0,50.9,11.0,0.921
0,1,22,8,9,2,18,47.4,2.895,3.211,0.9474,21.2,14.0,11.0,66.0,84.1,33.0526,31.1579,0.538,0.167,0.625,0.778,0.5,0.429,1226.0,571.0,655.0,46.6,8.8,0.897,9,10,1,19,47.5,2.85,3.3,0.8462,20.6,14.0,17.0,68.0,74.2,31.5,30.25,0.556,0.364,0.6,0.833,0.5,0.375,1197.0,587.0,610.0,49.0,9.0,0.891
0,3,23,10,8,2,22,55.0,2.85,3.2,0.8718,20.9,14.0,16.0,67.0,76.8,29.85,34.1,0.455,0.556,0.5,0.8,0.429,0.538,1180.0,565.0,615.0,47.9,9.5,0.906,10,10,2,22,50.0,3.0,3.455,0.84,18.7,14.0,18.0,75.0,77.8,28.7727,31.7727,0.625,0.357,0.8,0.625,0.571,0.4,1363.0,659.0,704.0,48.4,10.4,0.891
0,5,7,7,8,3,17,47.2,3.333,3.278,1.0244,25.4,14.0,12.0,55.0,80.0,32.6667,32.7778,0.5,0.167,0.429,1.0,0.25,0.444,1160.0,591.0,569.0,51.0,10.2,0.9,12,6,2,26,65.0,2.9,2.8,1.0857,18.2,12.0,11.0,66.0,81.4,32.05,32.0,0.8,0.4,0.778,0.857,0.5,0.7,1206.0,584.0,622.0,48.4,9.0,0.913
0,8,2,11,6,3,25,62.5,3.2,3.25,1.1136,13.5,10.0,13.0,74.0,80.9,32.2,31.5,0.583,0.5,0.714,0.714,0.545,0.556,1267.0,572.0,695.0,45.1,9.9,0.897,10,7,2,22,57.9,3.263,2.842,1.3333,18.5,12.0,13.0,65.0,80.0,27.8947,33.2632,0.636,0.375,0.5,0.818,0.2,0.692,1099.0,524.0,575.0,47.7,11.7,0.915
0,15,4,9,7,3,21,55.3,3.263,3.263,1.1111,29.0,18.0,19.0,62.0,73.2,30.6316,31.6316,0.75,0.273,0.625,0.889,0.625,0.4,1150.0,560.0,590.0,48.7,10.7,0.897,9,9,2,20,50.0,3.1,3.55,1.075,16.2,11.0,22.0,68.0,68.6,31.1,29.6,0.714,0.308,0.75,0.889,0.25,0.6,1149.0,634.0,515.0,55.2,10.0,0.88
0,19,9,7,8,3,17,47.2,3.111,3.167,0.8537,25.0,16.0,11.0,64.0,81.0,30.4444,31.0,0.556,0.222,0.429,0.778,0.333,0.571,1091.0,598.0,493.0,54.8,10.2,0.898,9,8,3,21,52.5,3.5,4.05,0.8491,25.4,17.0,20.0,67.0,68.8,29.7,38.35,0.5,0.4,0.545,0.625,0.667,0.357,1304.0,658.0,646.0,50.5,11.8,0.894
0,14,17,14,5,1,29,72.5,3.65,2.9,1.1351,29.7,22.0,13.0,74.0,82.7,32.8,32.05,0.778,0.636,0.714,0.769,0.6,0.778,1220.0,613.0,607.0,50.2,11.1,0.91,9,9,2,20,50.0,2.75,3.2,0.8205,22.4,13.0,14.0,58.0,81.3,28.8,35.45,0.571,0.385,0.6,0.75,0.75,0.375,1318.0,684.0,634.0,51.9,9.5,0.91
0,25,30,11,7,2,24,60.0,2.9,2.6,1.0571,19.6,11.0,11.0,56.0,82.0,30.45,31.05,0.643,0.333,0.571,0.909,0.625,0.5,1178.0,620.0,558.0,52.6,9.5,0.916,12,7,2,26,61.9,3.095,2.667,1.1667,21.7,15.0,11.0,69.0,84.9,31.5238,31.0952,0.571,0.571,0.667,0.714,0.583,0.556,1309.0,683.0,626.0,52.2,9.8,0.914
0,6,52,11,6,3,25,62.5,2.9,2.45,1.3333,29.9,20.0,14.0,67.0,79.1,29.4,31.85,0.889,0.273,0.889,0.9,0.5,0.571,1197.0,594.0,603.0,49.6,9.9,0.923,11,5,2,24,66.7,3.056,2.444,0.9032,33.3,17.0,12.0,51.0,81.2,31.1667,33.1111,0.6,0.625,0.625,0.625,0.667,0.583,1116.0,585.0,531.0,52.4,9.8,0.926
0,24,53,8,9,5,21,47.7,2.091,2.864,0.9118,15.0,9.0,15.0,60.0,80.8,26.6364,36.4091,0.6,0.167,0.5,0.833,0.333,0.333,1324.0,667.0,657.0,50.4,7.8,0.921,9,9,1,19,50.0,2.526,2.526,0.7027,14.8,9.0,5.0,61.0,91.7,32.2105,31.0526,0.778,0.2,0.875,0.875,0.25,0.857,1145.0,573.0,572.0,50.0,7.8,0.919
0,18,26,14,5,1,29,72.5,3.35,2.3,1.4828,12.8,10.0,13.0,78.0,79.7,32.75,29.75,1.0,0.333,1.0,0.909,0.727,0.625,1280.0,661.0,619.0,51.6,10.2,0.923,6,12,1,13,34.2,2.0,3.211,0.7143,13.3,8.0,13.0,60.0,77.6,27.8947,31.1053,0.714,0.083,1.0,0.833,0.286,0.333,1171.0,605.0,566.0,51.7,7.2,0.897
0,13,28,7,7,3,17,50.0,3.118,3.235,0.9697,23.6,17.0,14.0,72.0,74.1,35.3529,29.6471,0.4,0.429,0.167,0.714,0.273,0.75,1108.0,569.0,539.0,51.4,8.8,0.891,11,7,3,25,59.5,3.238,2.952,0.9167,19.4,13.0,7.0,67.0,89.1,36.1905,28.9524,0.667,0.167,0.75,0.778,0.5,0.6,1254.0,601.0,653.0,47.9,8.9,0.898
0,4,10,9,9,2,20,50.0,3.1,3.55,1.075,16.2,11.0,22.0,68.0,68.6,31.1,29.6,0.714,0.308,0.75,0.889,0.25,0.6,1149.0,634.0,515.0,55.2,10.0,0.88,14,6,0,28,70.0,3.5,2.55,1.3529,25.9,15.0,10.0,58.0,82.1,31.7,32.15,1.0,0.455,1.0,1.0,0.667,0.8,1228.0,625.0,603.0,50.9,11.0,0.921
0,12,29,9,8,3,21,52.5,2.6,2.9,1.0,15.5,11.0,17.0,71.0,73.8,40.3,26.35,0.75,0.25,0.8,0.857,0.389,1.0,1236.0,644.0,592.0,52.1,6.5,0.89,12,6,2,26,65.0,3.45,3.1,1.2051,16.4,12.0,15.0,73.0,77.6,32.75,31.7,0.778,0.455,1.0,1.0,0.5,0.7,1242.0,594.0,648.0,47.8,10.5,0.902
0,54,25,9,11,1,19,45.2,2.619,2.857,0.7447,16.9,12.0,9.0,71.0,85.2,33.9524,26.8571,0.5,0.333,0.714,1.0,0.357,0.667,1301.0,622.0,679.0,47.8,7.7,0.894,11,7,2,24,60.0,2.9,2.6,1.0571,19.6,11.0,11.0,56.0,82.0,30.45,31.05,0.643,0.333,0.571,0.909,0.625,0.5,1178.0,620.0,558.0,52.6,9.5,0.916
0,24,21,8,9,5,21,47.7,2.091,2.864,0.9118,15.0,9.0,15.0,60.0,80.8,26.6364,36.4091,0.6,0.167,0.5,0.833,0.333,0.333,1324.0,667.0,657.0,50.4,7.8,0.921,10,6,4,24,60.0,3.55,2.9,1.2941,30.3,20.0,16.0,66.0,79.8,30.1,31.95,0.6,0.4,0.625,0.75,0.75,0.333,1201.0,548.0,653.0,45.6,11.8,0.909
0,3,20,10,8,2,22,55.0,2.85,3.2,0.8718,20.9,14.0,16.0,67.0,76.8,29.85,34.1,0.455,0.556,0.5,0.8,0.429,0.538,1180.0,565.0,615.0,47.9,9.5,0.906,11,8,1,23,57.5,3.1,3.0,0.9487,18.3,13.0,15.0,71.0,76.6,34.25,28.3,0.778,0.364,0.8,0.8,0.563,0.5,1183.0,613.0,570.0,51.8,9.1,0.894
0,1,23,8,9,2,18,47.4,2.895,3.211,0.9474,21.2,14.0,11.0,66.0,84.1,33.0526,31.1579,0.538,0.167,0.625,0.778,0.5,0.429,1226.0,571.0,655.0,46.6,8.8,0.897,10,10,2,22,50.0,3.0,3.455,0.84,18.7,14.0,18.0,75.0,77.8,28.7727,31.7727,0.625,0.357,0.8,0.625,0.571,0.4,1363.0,659.0,704.0,48.4,10.4,0.891
0,19,5,7,8,3,17,47.2,3.111,3.167,0.8537,25.0,16.0,11.0,64.0,81.0,30.4444,31.0,0.556,0.222,0.429,0.778,0.333,0.571,1091.0,598.0,493.0,54.8,10.2,0.898,7,8,3,17,47.2,3.333,3.278,1.0244,25.4,14.0,12.0,55.0,80.0,32.6667,32.7778,0.5,0.167,0.429,1.0,0.25,0.444,1160.0,591.0,569.0,51.0,10.2,0.9
0,2,17,10,7,2,22,57.9,3.263,2.842,1.3333,18.5,12.0,13.0,65.0,80.0,27.8947,33.2632,0.636,0.375,0.5,0.818,0.2,0.692,1099.0,524.0,575.0,47.7,11.7,0.915,9,9,2,20,50.0,2.75,3.2,0.8205,22.4,13.0,14.0,58.0,81.3,28.8,35.45,0.571,0.385,0.6,0.75,0.75,0.375,1318.0,684.0,634.0,51.9,9.5,0.91
0,13,26,7,7,3,17,50.0,3.118,3.235,0.9697,23.6,17.0,14.0,72.0,74.1,35.3529,29.6471,0.4,0.429,0.167,0.714,0.273,0.75,1108.0,569.0,539.0,51.4,8.8,0.891,6,12,1,13,34.2,2.0,3.211,0.7143,13.3,8.0,13.0,60.0,77.6,27.8947,31.1053,0.714,0.083,1.0,0.833,0.286,0.333,1171.0,605.0,566.0,51.7,7.2,0.897
0,20,52,11,8,1,23,57.5,3.1,3.0,0.9487,18.3,13.0,15.0,71.0,76.6,34.25,28.3,0.778,0.364,0.8,0.8,0.563,0.5,1183.0,613.0,570.0,51.8,9.1,0.894,11,5,2,24,66.7,3.056,2.444,0.9032,33.3,17.0,12.0,51.0,81.2,31.1667,33.1111,0.6,0.625,0.625,0.625,0.667,0.583,1116.0,585.0,531.0,52.4,9.8,0.926
0,29,6,12,6,2,26,65.0,3.45,3.1,1.2051,16.4,12.0,15.0,73.0,77.6,32.75,31.7,0.778,0.455,1.0,1.0,0.5,0.7,1242.0,594.0,648.0,47.8,10.5,0.902,11,6,3,25,62.5,2.9,2.45,1.3333,29.9,20.0,14.0,67.0,79.1,29.4,31.85,0.889,0.273,0.889,0.9,0.5,0.571,1197.0,594.0,603.0,49.6,9.9,0.923
0,16,8,8,8,5,21,50.0,2.667,3.286,0.878,14.1,9.0,15.0,64.0,74.6,32.381,33.381,0.583,0.111,0.5,0.833,0.4,0.3,1243.0,619.0,624.0,49.8,8.2,0.902,11,6,3,25,62.5,3.2,3.25,1.1136,13.5,10.0,13.0,74.0,80.9,32.2,31.5,0.583,0.5,0.714,0.714,0.545,0.556,1267.0,572.0,695.0,45.1,9.9,0.897
0,10,9,14,6,0,28,70.0,3.5,2.55,1.3529,25.9,15.0,10.0,58.0,82.1,31.7,32.15,1.0,0.455,1.0,1.0,0.667,0.8,1228.0,625.0,603.0,50.9,11.0,0.921,9,8,3,21,52.5,3.5,4.05,0.8491,25.4,17.0,20.0,67.0,68.8,29.7,38.35,0.5,0.4,0.545,0.625,0.667,0.357,1304.0,658.0,646.0,50.5,11.8,0.894
0,15,14,9,7,3,21,55.3,3.263,3.263,1.1111,29.0,18.0,19.0,62.0,73.2,30.6316,31.6316,0.75,0.273,0.625,0.889,0.625,0.4,1150.0,560.0,590.0,48.7,10.7,0.897,14,5,1,29,72.5,3.65,2.9,1.1351,29.7,22.0,13.0,74.0,82.7,32.8,32.05,0.778,0.636,0.714,0.769,0.6,0.778,1220.0,613.0,607.0,50.2,11.1,0.91
0,7,12,12,6,2,26,65.0,2.9,2.8,1.0857,18.2,12.0,11.0,66.0,81.4,32.05,32.0,0.8,0.4,0.778,0.857,0.5,0.7,1206.0,584.0,622.0,48.4,9.0,0.913,9,8,3,21,52.5,2.6,2.9,1.0,15.5,11.0,17.0,71.0,73.8,40.3,26.35,0.75,0.25,0.8,0.857,0.389,1.0,1236.0,644.0,592.0,52.1,6.5,0.89
0,3,30,10,8,2,22,55.0,2.85,3.2,0.8718,20.9,14.0,16.0,67.0,76.8,29.85,34.1,0.455,0.556,0.5,0.8,0.429,0.538,1180.0,565.0,615.0,47.9,9.5,0.906,12,7,2,26,61.9,3.095,2.667,1.1667,21.7,15.0,11.0,69.0,84.9,31.5238,31.0952,0.571,0.571,0.667,0.714,0.583,0.556,1309.0,683.0,626.0,52.2,9.8,0.914
0,22,53,9,10,1,19,47.5,2.85,3.3,0.8462,20.6,14.0,17.0,68.0,74.2,31.5,30.25,0.556,0.364,0.6,0.833,0.5,0.375,1197.0,587.0,610.0,49.0,9.0,0.891,9,9,1,19,50.0,2.526,2.526,0.7027,14.8,9.0,5.0,61.0,91.7,32.2105,31.0526,0.778,0.2,0.875,0.875,0.25,0.857,1145.0,573.0,572.0,50.0,7.8,0.919
0,18,28,14,5,1,29,72.5,3.35,2.3,1.4828,12.8,10.0,13.0,78.0,79.7,32.75,29.75,1.0,0.333,1.0,0.909,0.727,0.625,1280.0,661.0,619.0,51.6,10.2,0.923,11,7,3,25,59.5,3.238,2.952,0.9167,19.4,13.0,7.0,67.0,89.1,36.1905,28.9524,0.667,0.167,0.75,0.778,0.5,0.6,1254.0,601.0,653.0,47.9,8.9,0.898
0,1,21,8,9,2,18,47.4,2.895,3.211,0.9474,21.2,14.0,11.0,66.0,84.1,33.0526,31.1579,0.538,0.167,0.625,0.778,0.5,0.429,1226.0,571.0,655.0,46.6,8.8,0.897,10,6,4,24,60.0,3.55,2.9,1.2941,30.3,20.0,16.0,66.0,79.8,30.1,31.95,0.6,0.4,0.625,0.75,0.75,0.333,1201.0,548.0,653.0,45.6,11.8,0.909
0,19,7,7,8,3,17,47.2,3.111,3.167,0.8537,25.0,16.0,11.0,64.0,81.0,30.4444,31.0,0.556,0.222,0.429,0.778,0.333,0.571,1091.0,598.0,493.0,54.8,10.2,0.898,12,6,2,26,65.0,2.9,2.8,1.0857,18.2,12.0,11.0,66.0,81.4,32.05,32.0,0.8,0.4,0.778,0.857,0.5,0.7,1206.0,584.0,622.0,48.4,9.0,0.913
0,2,30,10,7,2,22,57.9,3.263,2.842,1.3333,18.5,12.0,13.0,65.0,80.0,27.8947,33.2632,0.636,0.375,0.5,0.818,0.2,0.692,1099.0,524.0,575.0,47.7,11.7,0.915,12,7,2,26,61.9,3.095,2.667,1.1667,21.7,15.0,11.0,69.0,84.9,31.5238,31.0952,0.571,0.571,0.667,0.714,0.583,0.556,1309.0,683.0,626.0,52.2,9.8,0.914
0,23,25,10,10,2,22,50.0,3.0,3.455,0.84,18.7,14.0,18.0,75.0,77.8,28.7727,31.7727,0.625,0.357,0.8,0.625,0.571,0.4,1363.0,659.0,704.0,48.4,10.4,0.891,11,7,2,24,60.0,2.9,2.6,1.0571,19.6,11.0,11.0,56.0,82.0,30.45,31.05,0.643,0.333,0.571,0.909,0.625,0.5,1178.0,620.0,558.0,52.6,9.5,0.916
0,4,5,9,9,2,20,50.0,3.1,3.55,1.075,16.2,11.0,22.0,68.0,68.6,31.1,29.6,0.714,0.308,0.75,0.889,0.25,0.6,1149.0,634.0,515.0,55.2,10.0,0.88,7,8,3,17,47.2,3.333,3.278,1.0244,25.4,14.0,12.0,55.0,80.0,32.6667,32.7778,0.5,0.167,0.429,1.0,0.25,0.444,1160.0,591.0,569.0,51.0,10.2,0.9
0,13,24,7,7,3,17,50.0,3.118,3.235,0.9697,23.6,17.0,14.0,72.0,74.1,35.3529,29.6471,0.4,0.429,0.167,0.714,0.273,0.75,1108.0,569.0,539.0,51.4,8.8,0.891,8,9,5,21,47.7,2.091,2.864,0.9118,15.0,9.0,15.0,60.0,80.8,26.6364,36.4091,0.6,0.167,0.5,0.833,0.333,0.333,1324.0,667.0,657.0,50.4,7.8,0.921
0,22,54,9,10,1,19,47.5,2.85,3.3,0.8462,20.6,14.0,17.0,68.0,74.2,31.5,30.25,0.556,0.364,0.6,0.833,0.5,0.375,1197.0,587.0,610.0,49.0,9.0,0.891,9,11,1,19,45.2,2.619,2.857,0.7447,16.9,12.0,9.0,71.0,85.2,33.9524,26.8571,0.5,0.333,0.714,1.0,0.357,0.667,1301.0,622.0,679.0,47.8,7.7,0.894
0,53,14,9,9,1,19,50.0,2.526,2.526,0.7027,14.8,9.0,5.0,61.0,91.7,32.2105,31.0526,0.778,0.2,0.875,0.875,0.25,0.857,1145.0,573.0,572.0,50.0,7.8,0.919,14,5,1,29,72.5,3.65,2.9,1.1351,29.7,22.0,13.0,74.0,82.7,32.8,32.05,0.778,0.636,0.714,0.769,0.6,0.778,1220.0,613.0,607.0,50.2,11.1,0.91
0,23,16,10,10,2,22,50.0,3.0,3.455,0.84,18.7,14.0,18.0,75.0,77.8,28.7727,31.7727,0.625,0.357,0.8,0.625,0.571,0.4,1363.0,659.0,704.0,48.4,10.4,0.891,8,8,5,21,50.0,2.667,3.286,0.878,14.1,9.0,15.0,64.0,74.6,32.381,33.381,0.583,0.111,0.5,0.833,0.4,0.3,1243.0,619.0,624.0,49.8,8.2,0.902
0,52,26,11,5,2,24,66.7,3.056,2.444,0.9032,33.3,17.0,12.0,51.0,81.2,31.1667,33.1111,0.6,0.625,0.625,0.625,0.667,0.583,1116.0,585.0,531.0,52.4,9.8,0.926,6,12,1,13,34.2,2.0,3.211,0.7143,13.3,8.0,13.0,60.0,77.6,27.8947,31.1053,0.714,0.083,1.0,0.833,0.286,0.333,1171.0,605.0,566.0,51.7,7.2,0.897
0,54,28,9,11,1,19,45.2,2.619,2.857,0.7447,16.9,12.0,9.0,71.0,85.2,33.9524,26.8571,0.5,0.333,0.714,1.0,0.357,0.667,1301.0,622.0,679.0,47.8,7.7,0.894,11,7,3,25,59.5,3.238,2.952,0.9167,19.4,13.0,7.0,67.0,89.1,36.1905,28.9524,0.667,0.167,0.75,0.778,0.5,0.6,1254.0,601.0,653.0,47.9,8.9,0.898
0,6,2,11,6,3,25,62.5,2.9,2.45,1.3333,29.9,20.0,14.0,67.0,79.1,29.4,31.85,0.889,0.273,0.889,0.9,0.5,0.571,1197.0,594.0,603.0,49.6,9.9,0.923,10,7,2,22,57.9,3.263,2.842,1.3333,18.5,12.0,13.0,65.0,80.0,27.8947,33.2632,0.636,0.375,0.5,0.818,0.2,0.692,1099.0,524.0,575.0,47.7,11.7,0.915
0,17,3,9,9,2,20,50.0,2.75,3.2,0.8205,22.4,13.0,14.0,58.0,81.3,28.8,35.45,0.571,0.385,0.6,0.75,0.75,0.375,1318.0,684.0,634.0,51.9,9.5,0.91,10,8,2,22,55.0,2.85,3.2,0.8718,20.9,14.0,16.0,67.0,76.8,29.85,34.1,0.455,0.556,0.5,0.8,0.429,0.538,1180.0,565.0,615.0,47.9,9.5,0.906
0,8,4,11,6,3,25,62.5,3.2,3.25,1.1136,13.5,10.0,13.0,74.0,80.9,32.2,31.5,0.583,0.5,0.714,0.714,0.545,0.556,1267.0,572.0,695.0,45.1,9.9,0.897,9,9,2,20,50.0,3.1,3.55,1.075,16.2,11.0,22.0,68.0,68.6,31.1,29.6,0.714,0.308,0.75,0.889,0.25,0.6,1149.0,634.0,515.0,55.2,10.0,0.88
0,5,12,7,8,3,17,47.2,3.333,3.278,1.0244,25.4,14.0,12.0,55.0,80.0,32.6667,32.7778,0.5,0.167,0.429,1.0,0.25,0.444,1160.0,591.0,569.0,51.0,10.2,0.9,9,8,3,21,52.5,2.6,2.9,1.0,15.5,11.0,17.0,71.0,73.8,40.3,26.35,0.75,0.25,0.8,0.857,0.389,1.0,1236.0,644.0,592.0,52.1,6.5,0.89
0,15,1,9,7,3,21,55.3,3.263,3.263,1.1111,29.0,18.0,19.0,62.0,73.2,30.6316,31.6316,0.75,0.273,0.625,0.889,0.625,0.4,1150.0,560.0,590.0,48.7,10.7,0.897,8,9,2,18,47.4,2.895,3.211,0.9474,21.2,14.0,11.0,66.0,84.1,33.0526,31.1579,0.538,0.167,0.625,0.778,0.5,0.429,1226.0,571.0,655.0,46.6,8.8,0.897
0,22,19,9,10,1,19,47.5,2.85,3.3,0.8462,20.6,14.0,17.0,68.0,74.2,31.5,30.25,0.556,0.364,0.6,0.833,0.5,0.375,1197.0,587.0,610.0,49.0,9.0,0.891,7,8,3,17,47.2,3.111,3.167,0.8537,25.0,16.0,11.0,64.0,81.0,30.4444,31.0,0.556,0.222,0.429,0.778,0.333,0.571,1091.0,598.0,493.0,54.8,10.2,0.898
0,10,18,14,6,0,28,70.0,3.5,2.55,1.3529,25.9,15.0,10.0,58.0,82.1,31.7,32.15,1.0,0.455,1.0,1.0,0.667,0.8,1228.0,625.0,603.0,50.9,11.0,0.921,14,5,1,29,72.5,3.35,2.3,1.4828,12.8,10.0,13.0,78.0,79.7,32.75,29.75,1.0,0.333,1.0,0.909,0.727,0.625,1280.0,661.0,619.0,51.6,10.2,0.923
0,21,30,10,6,4,24,60.0,3.55,2.9,1.2941,30.3,20.0,16.0,66.0,79.8,30.1,31.95,0.6,0.4,0.625,0.75,0.75,0.333,1201.0,548.0,653.0,45.6,11.8,0.909,12,7,2,26,61.9,3.095,2.667,1.1667,21.7,15.0,11.0,69.0,84.9,31.5238,31.0952,0.571,0.571,0.667,0.714,0.583,0.556,1309.0,683.0,626.0,52.2,9.8,0.914
0,13,25,7,7,3,17,50.0,3.118,3.235,0.9697,23.6,17.0,14.0,72.0,74.1,35.3529,29.6471,0.4,0.429,0.167,0.714,0.273,0.75,1108.0,569.0,539.0,51.4,8.8,0.891,11,7,2,24,60.0,2.9,2.6,1.0571,19.6,11.0,11.0,56.0,82.0,30.45,31.05,0.643,0.333,0.571,0.909,0.625,0.5,1178.0,620.0,558.0,52.6,9.5,0.916
0,29,20,12,6,2,26,65.0,3.45,3.1,1.2051,16.4,12.0,15.0,73.0,77.6,32.75,31.7,0.778,0.455,1.0,1.0,0.5,0.7,1242.0,594.0,648.0,47.8,10.5,0.902,11,8,1,23,57.5,3.1,3.0,0.9487,18.3,13.0,15.0,71.0,76.6,34.25,28.3,0.778,0.364,0.8,0.8,0.563,0.5,1183.0,613.0,570.0,51.8,9.1,0.894
0,10,7,14,6,0,28,70.0,3.5,2.55,1.3529,25.9,15.0,10.0,58.0,82.1,31.7,32.15,1.0,0.455,1.0,1.0,0.667,0.8,1228.0,625.0,603.0,50.9,11.0,0.921,12,6,2,26,65.0,2.9,2.8,1.0857,18.2,12.0,11.0,66.0,81.4,32.05,32.0,0.8,0.4,0.778,0.857,0.5,0.7,1206.0,584.0,622.0,48.4,9.0,0.913
0,14,15,14,5,1,29,72.5,3.65,2.9,1.1351,29.7,22.0,13.0,74.0,82.7,32.8,32.05,0.778,0.636,0.714,0.769,0.6,0.778,1220.0,613.0,607.0,50.2,11.1,0.91,9,7,3,21,55.3,3.263,3.263,1.1111,29.0,18.0,19.0,62.0,73.2,30.6316,31.6316,0.75,0.273,0.625,0.889,0.625,0.4,1150.0,560.0,590.0,48.7,10.7,0.897
0,9,23,9,8,3,21,52.5,3.5,4.05,0.8491,25.4,17.0,20.0,67.0,68.8,29.7,38.35,0.5,0.4,0.545,0.625,0.667,0.357,1304.0,658.0,646.0,50.5,11.8,0.894,10,10,2,22,50.0,3.0,3.455,0.84,18.7,14.0,18.0,75.0,77.8,28.7727,31.7727,0.625,0.357,0.8,0.625,0.571,0.4,1363.0,659.0,704.0,48.4,10.4,0.891
0,52,24,11,5,2,24,66.7,3.056,2.444,0.9032,33.3,17.0,12.0,51.0,81.2,31.1667,33.1111,0.6,0.625,0.625,0.625,0.667,0.583,1116.0,585.0,531.0,52.4,9.8,0.926,8,9,5,21,47.7,2.091,2.864,0.9118,15.0,9.0,15.0,60.0,80.8,26.6364,36.4091,0.6,0.167,0.5,0.833,0.333,0.333,1324.0,667.0,657.0,50.4,7.8,0.921
0,53,13,9,9,1,19,50.0,2.526,2.526,0.7027,14.8,9.0,5.0,61.0,91.7,32.2105,31.0526,0.778,0.2,0.875,0.875,0.25,0.857,1145.0,573.0,572.0,50.0,7.8,0.919,7,7,3,17,50.0,3.118,3.235,0.9697,23.6,17.0,14.0,72.0,74.1,35.3529,29.6471,0.4,0.429,0.167,0.714,0.273,0.75,1108.0,569.0,539.0,51.4,8.8,0.891
0,6,1,11,6,3,25,62.5,2.9,2.45,1.3333,29.9,20.0,14.0,67.0,79.1,29.4,31.85,0.889,0.273,0.889,0.9,0.5,0.571,1197.0,594.0,603.0,49.6,9.9,0.923,8,9,2,18,47.4,2.895,3.211,0.9474,21.2,14.0,11.0,66.0,84.1,33.0526,31.1579,0.538,0.167,0.625,0.778,0.5,0.429,1226.0,571.0,655.0,46.6,8.8,0.897
0,14,12,14,5,1,29,72.5,3.65,2.9,1.1351,29.7,22.0,13.0,74.0,82.7,32.8,32.05,0.778,0.636,0.714,0.769,0.6,0.778,1220.0,613.0,607.0,50.2,11.1,0.91,9,8,3,21,52.5,2.6,2.9,1.0,15.5,11.0,17.0,71.0,73.8,40.3,26.35,0.75,0.25,0.8,0.857,0.389,1.0,1236.0,644.0,592.0,52.1,6.5,0.89
0,2,8,10,7,2,22,57.9,3.263,2.842,1.3333,18.5,12.0,13.0,65.0,80.0,27.8947,33.2632,0.636,0.375,0.5,0.818,0.2,0.692,1099.0,524.0,575.0,47.7,11.7,0.915,11,6,3,25,62.5,3.2,3.25,1.1136,13.5,10.0,13.0,74.0,80.9,32.2,31.5,0.583,0.5,0.714,0.714,0.545,0.556,1267.0,572.0,695.0,45.1,9.9,0.897
0,17,19,9,9,2,20,50.0,2.75,3.2,0.8205,22.4,13.0,14.0,58.0,81.3,28.8,35.45,0.571,0.385,0.6,0.75,0.75,0.375,1318.0,684.0,634.0,51.9,9.5,0.91,7,8,3,17,47.2,3.111,3.167,0.8537,25.0,16.0,11.0,64.0,81.0,30.4444,31.0,0.556,0.222,0.429,0.778,0.333,0.571,1091.0,598.0,493.0,54.8,10.2,0.898
0,5,18,7,8,3,17,47.2,3.333,3.278,1.0244,25.4,14.0,12.0,55.0,80.0,32.6667,32.7778,0.5,0.167,0.429,1.0,0.25,0.444,1160.0,591.0,569.0,51.0,10.2,0.9,14,5,1,29,72.5,3.35,2.3,1.4828,12.8,10.0,13.0,78.0,79.7,32.75,29.75,1.0,0.333,1.0,0.909,0.727,0.625,1280.0,661.0,619.0,51.6,10.2,0.923
